label,text
0,"Scientists have discovered a new dinosaur. It looked like a duck and hunted like a penguin
  https://t.co/t9IOAcLrLv
  #medium #mediumwriters #dinosaur #dinosaurs #animals #nature #history #science #discovery #research #study #life #lifelessons #blog #blogs #article #articles #writer https://t.co/WC1sgmh0Sb"
1,"RT @DarkMatterPosts: How was coal formed? This process took millions of years. It created a fuel that harms the climate
  #medium #mediumwrit…"
0,"50,000-Year-Old Zombie Virus Found in Permafrost
  https://t.co/IH82n2eNK2
  #medium #mediumwriters #zombie #virus #pandemic #news #science #life #lifelessons #health #blog #blogs #writer #writers #knowmore #interesting #news #facts #articles #article #blogging #blogger #bloggers"
1,"RT @DarkMatterPosts: The world’s strangest foods. Would you dare to try even one of them?
  https://t.co/PCmQWfy0mo
  #medium #mediumwriters #f…"
1,"RT @DarkEnergyTweet: Dachshund bones were found under the Colosseum. Did the dogs fight each other in the arena?
  https://t.co/TEXJgUitmZ
  #m…"
1,"RT @DarkEnergyTweet: Omicron, gryphon, typhon, cerberus and other covid creatures. Is there anything to be afraid of?
  https://t.co/Ptxf1XkF…"
0,"A “dwarf dinosaur” fossil has been found in Romania. It inhabited a prehistoric European island
  https://t.co/MvneZCrMAe
  #medium #mediumwriters #science #life #lifelessons #dinosaur #dinosaurs #discovery #news #nature #animals #blog #blogs #article #articles #writer #writers https://t.co/fuDP7Hs3yk"
1,"RT @DarkMatterPosts: There, Christmas lasts all year round. Do you know which places we’re talking about?
  https://t.co/ZpQFPCTv9Q
  #medium #…"
0,"RT @DarkMatterPosts: Scientists have created a miniature space-time tunnel. For now, only in a quantum computer
  https://t.co/argJf4U2XC
  #me…"
1,"RT @DarkEnergyTweet: Italian town pays 30,000 euros to move. Where’s the catch?
  https://t.co/heNtPL2Asz
  #medium #mediumwriters #italy #life…"
1,"RT @DarkEnergyTweet: A new way to combat global warming? Scientists want to fertilize the oceans with the help of nanoparticles
  https://t.c…"
0,"Trivia about Iceland. 10 things you won’t know about the country unless you live there
  https://t.co/K2LikwAHaz
  #medium #mediumwriters #iceland #travel #traveling #culture #lifestyle #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #news #facts #articles https://t.co/THbdI8Jtpm"
0,"RT @DarkMatterPosts: Saudi Arabia builds world’s largest airport — will handle 185 million passengers annually
  https://t.co/XB7IKiQL4u
  #med…"
0,"RT @DarkMatterPosts: Spain has become the European capital of rail transportation. It is a paradise for supporters of train travel
  https://…"
1,"What did a medieval woman look like? Scientists have created a remarkable 3D model
  https://t.co/cFvsAsArYx
  #medium #mediumwriters #history #culture #medieval #science #lifestyle #life #lifelessons #blog #blogs #writer #writers #knowmore #facts #article #articles #interesting https://t.co/1EUCC49T4S"
1,"RT @DarkEnergyTweet: Greta Thunberg has sued her home country of Sweden. What prompted the young activist to do so?
  https://t.co/eFnwf8HkQk…"
0,"RT @DarkEnergyTweet: Earth and Moon photographed from Orion’s perspective. Artemis 1 mission has reached a critical point
  https://t.co/tCLY…"
1,"RT @DarkMatterPosts: Indian tribes in North America. Who are the indigenous peoples of America?
  https://t.co/H8SVETS50N
  #medium #mediumwrit…"
0,"RT @DarkEnergyTweet: A great little leader who was panicky about cats. Here are surprising trivia about Napoleon Bonaparte
  https://t.co/xBK…"
1,"RT @GlamStyle11: Full moon — superstitions. What did our ancestors believe in? What not to do during the full moon?
  https://t.co/dJ7AVSTVKE…"
1,"An invisible antivirus mask is being created. How will it work?
  https://t.co/vvL73TrSvH
  #medium #mediumwriters #health #COVID19 #COVID #SARSCoV2 #pandemic #technology #technews #science #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #articles #article https://t.co/hmbUH13ZVM"
1,"RT @DarkMatterPosts: The world’s largest active volcano has erupted. Does the lava threaten the people of Hawaii?
  https://t.co/1bEuHMThfh
  #…"
1,"RT @DarkMatterPosts: Montezuma’s treasure — what did Montezuma II do with his gold?
  https://t.co/sroQjPr5Fb
  #medium #mediumwriters #montezu…"
1,"RT @DarkEnergyTweet: Trivia about horses. How a small forest creature grew to symbolize strength, speed and freedom
  https://t.co/D3URUg8z9q…"
